wedstrijd,thuis,werkelijk_thuis,uit,werkelijk_uit,winnaar_na_penalties
1,Zuid-Afrika,0,Canada,1,
2,Brazilië,2,Japan,1,
3,Duitsland,1,Paraguay,1,Paraguay
4,Nederland,1,Marokko,1,Marokko
5,Ivoorkust,1,Noorwegen,2,
6,Frankrijk,3,Zweden,0,
7,Mexico,2,Ecuador,0,
8,Engeland,2,Dem. Rep. Congo,1,
9,België,3,Senegal,2,
10,Verenigde Staten,2,Bosnië-Herzegovina,0,
11,Spanje,3,Oostenrijk,0,
12,Portugal,2,Kroatië,1,
13,Zwitserland,2,Algerije,0,
14,Australië,1,Egypte,1,
15,Argentinië,3,Kaapverdië,2,
16,Colombia,1,Ghana,0,